symbol,date,close,high,low,number_of_trades,open,quote_volume,taker_quote_volume,taker_volume,volume
BTCUSDT,2017-08-17,4285.08,4485.39,4200.74,3427,4261.48,3454770.05073206,2678216.40060401,616.248541,795.150377
BTCUSDT,2017-08-18,4108.37,4371.52,3938.77,5233,4285.08,5086958.30617151,4129123.31651808,972.86871,1199.888264
BTCUSDT,2017-08-19,4139.98,4184.69,3850.0,2153,4108.37,1549483.73542151,1118001.87008735,274.336042,381.309763
BTCUSDT,2017-08-20,4086.29,4211.08,4032.62,2321,4120.98,1930364.39032646,1557401.3337373,376.795947,467.083022
BTCUSDT,2017-08-21,4016.0,4119.62,3911.79,3972,4069.13,2797231.71402728,2255662.55315837,557.356107,691.74306
BTCUSDT,2017-08-22,4040.0,4104.82,3400.0,6494,4016.0,3752505.77214051,1637188.36934226,423.995181,966.684858
BTCUSDT,2017-08-23,4114.01,4265.8,4013.89,8629,4040.0,4148686.46581968,1293567.09519463,309.419092,1001.136565
BTCUSDT,2017-08-24,4316.01,4371.68,4085.01,6247,4147.0,3296476.41316476,868379.0641312,206.820412,787.418753
BTCUSDT,2017-08-25,4280.68,4453.91,4247.48,6554,4316.01,2484637.34936327,434577.13574645,100.097974,573.61274
BTCUSDT,2017-08-26,4337.44,4367.0,4212.41,2260,4280.71,977865.7333321,241363.80050245,56.190141,228.108068
BTCUSDT,2017-08-27,4310.01,4400.0,4285.54,3670,4332.51,1521580.06202557,442442.17937215,101.651358,350.692585
BTCUSDT,2017-08-28,4386.69,4399.82,4124.54,4349,4310.01,2591660.52579953,612364.20611134,142.787782,603.841616
BTCUSDT,2017-08-29,4587.48,4625.85,4313.55,4159,4353.65,2682483.73582991,641982.02068658,143.442567,603.545028
BTCUSDT,2017-08-30,4555.14,4647.51,4416.01,5551,4564.52,3683714.68666123,894620.23750883,196.062252,808.468771
BTCUSDT,2017-08-31,4724.89,4745.42,4555.14,4161,4555.14,2579878.72401184,614342.53390234,131.947325,556.956802
BTCUSDT,2017-09-01,4834.91,4885.55,4654.88,4000,4689.89,2665165.55924616,566254.43089734,118.660103,560.666366
BTCUSDT,2017-09-02,4472.14,4939.19,4286.87,7475,4796.16,4257723.944817,1738334.08541735,379.199863,929.148595
BTCUSDT,2017-09-03,4509.08,4714.76,4298.33,6022,4508.5,3121052.75230181,1169644.69159694,258.934536,691.216198
BTCUSDT,2017-09-04,4100.11,4527.49,3972.51,9317,4505.0,5909947.49008974,2460362.61291664,578.600851,1394.644614
BTCUSDT,2017-09-05,4366.47,4484.99,3603.0,10084,4106.97,5083453.18675071,2214297.83961246,533.476065,1228.938157
BTCUSDT,2017-09-06,4619.77,4662.87,4335.26,7956,4366.49,3626346.05544323,1903231.7409154,422.923063,807.363726
BTCUSDT,2017-09-07,4691.61,4788.59,4438.19,3070,4619.77,2305795.13638315,1111299.24357466,240.683949,500.429975
BTCUSDT,2017-09-08,4282.8,4735.39,4028.93,4733,4691.66,4866527.22639337,2004277.28941755,465.962119,1132.255046
BTCUSDT,2017-09-09,4258.81,4426.62,4150.06,3777,4282.8,2815383.46568698,1233627.00774409,287.989805,658.782952
BTCUSDT,2017-09-10,4130.37,4283.0,3801.0,3435,4258.81,2700371.80819211,1193884.03650449,291.786887,660.373275
BTCUSDT,2017-09-11,4208.47,4334.43,4098.91,4228,4153.62,2956842.76250147,1361869.71324406,322.19833,699.989065
BTCUSDT,2017-09-12,4163.72,4394.59,4040.8,6501,4208.6,3725190.62328952,1911015.26637066,451.78067,879.630319
BTCUSDT,2017-09-13,3944.69,4165.38,3760.0,5019,4159.72,3570365.92571669,1425986.44091325,363.053413,913.462545
BTCUSDT,2017-09-14,3189.02,3993.0,3165.13,9066,3944.0,5914261.40460825,2711572.43635069,761.153976,1665.021543
BTCUSDT,2017-09-15,3700.0,3856.0,2817.0,10445,3188.01,6588767.18669446,3236325.66838306,966.122245,1968.866492
BTCUSDT,2017-09-16,3714.95,3950.0,3470.66,8809,3674.01,4804878.24721283,2314536.03271908,624.887842,1297.563953
BTCUSDT,2017-09-17,3699.99,3748.21,3499.02,6355,3685.23,2466490.27859466,994843.63045949,273.931976,682.17121
BTCUSDT,2017-09-18,4035.01,4123.2,3690.0,8220,3690.0,4069033.05715863,1651863.37125876,417.638722,1030.006455
BTCUSDT,2017-09-19,3910.04,4089.97,3830.91,7342,4060.0,3558315.19743872,1016803.88177532,257.320352,902.332129
BTCUSDT,2017-09-20,3900.0,4046.08,3820.0,7231,3910.04,2839584.45308804,1562210.14983916,395.275138,720.935076
BTCUSDT,2017-09-21,3609.99,3910.0,3567.0,8714,3889.99,3757043.07821264,1946238.63873747,517.258926,1001.654084
BTCUSDT,2017-09-22,3595.87,3750.0,3505.55,8152,3592.84,3031771.43292849,1848104.61254174,511.059869,838.966425
BTCUSDT,2017-09-23,3780.0,3817.19,3542.91,8402,3595.88,2799706.99951511,1608679.14327472,431.94671,752.792791
BTCUSDT,2017-09-24,3660.02,3789.99,3622.76,8724,3779.54,2445788.43620041,1077964.32638088,290.93917,661.63639
BTCUSDT,2017-09-25,3920.75,3979.87,3653.69,9740,3660.02,2784170.85318322,1144089.17964881,298.839159,727.994713
BTCUSDT,2017-09-26,3882.35,3976.99,3850.05,7971,3928.0,2061195.57868009,883925.0185633,225.570283,526.727987
BTCUSDT,2017-09-27,4193.0,4249.94,3872.81,8373,3882.36,2554629.81447101,1418522.03112125,348.083641,628.170966
BTCUSDT,2017-09-28,4174.5,4300.0,4101.0,11426,4192.11,3553178.87037354,1525467.35780567,364.517452,849.785325
BTCUSDT,2017-09-29,4174.69,4263.86,3952.01,14834,4178.98,6571746.35900076,2706153.81551434,660.408235,1602.309565
BTCUSDT,2017-09-30,4378.51,4380.0,4138.1,9324,4175.0,3088354.40084536,1258540.22252994,292.966693,720.353183
BTCUSDT,2017-10-01,4378.48,4406.52,4240.04,9816,4378.49,3137143.89184457,1263465.86667018,291.975904,726.963685
BTCUSDT,2017-10-02,4380.0,4561.63,4360.0,8185,4400.0,2905282.77570845,1286786.89051625,289.541406,655.756974
BTCUSDT,2017-10-03,4310.0,4467.33,4180.8,12379,4380.0,4627422.74283879,2107462.11039911,492.735181,1082.323563
BTCUSDT,2017-10-04,4208.59,4373.0,4142.0,11006,4314.9,3676415.10054891,1237552.36930596,292.928777,868.465101
BTCUSDT,2017-10-05,4292.43,4355.0,4110.0,9158,4208.59,3295532.82397779,1483036.83360606,351.042019,779.138638
BTCUSDT,2017-10-06,4369.0,4417.0,4292.0,6546,4318.99,2212035.12414239,988106.60264063,226.148177,506.529176
BTCUSDT,2017-10-07,4423.0,4479.5,4312.56,4804,4369.0,1302533.21459281,637146.85809303,145.313076,297.5975
BTCUSDT,2017-10-08,4640.0,4658.0,4425.0,7580,4425.0,2347356.46944654,1268660.82999198,280.094854,518.462004
BTCUSDT,2017-10-09,4786.95,4889.98,4550.0,10372,4640.0,3040508.90436387,1654274.63749423,350.756559,646.463145
BTCUSDT,2017-10-10,4783.06,4960.0,4680.59,11967,4786.95,5044283.86347582,3289613.76073974,678.832674,1043.221773
BTCUSDT,2017-10-11,4821.43,4881.61,4710.0,5895,4783.06,3609240.90903919,2586977.71897445,540.087975,753.429396
BTCUSDT,2017-10-12,5430.0,5439.99,4810.16,8030,4821.43,6659759.29119366,4149667.59915114,796.594719,1276.701482
BTCUSDT,2017-10-13,5649.98,5846.17,5379.84,11663,5439.99,10597340.30104987,4945786.36371635,878.638077,1879.82762
BTCUSDT,2017-10-14,5869.99,5900.0,5580.01,6259,5650.0,5533972.4859947,2472775.20446234,433.794904,970.759046
BTCUSDT,2017-10-15,5709.99,5922.3,5400.01,7452,5855.03,7553650.20132813,3384776.70651666,601.422361,1343.523375
BTCUSDT,2017-10-16,5760.02,5788.91,5585.19,9153,5710.0,8701914.79553535,4096285.84717841,719.218538,1528.996462
BTCUSDT,2017-10-17,5595.0,5774.98,5508.63,9755,5760.0,8041662.31881055,3874630.11789208,688.766779,1429.869376
BTCUSDT,2017-10-18,5512.06,5596.0,5037.95,14824,5595.0,12456909.97604373,5582555.96464678,1039.622475,2317.804373
BTCUSDT,2017-10-19,5683.9,5710.0,5490.26,11553,5513.0,10609368.77338359,4889254.26776489,866.172234,1881.722107
BTCUSDT,2017-10-20,6010.01,6110.0,5600.0,11656,5683.31,11486552.1888066,4827682.43818362,833.037457,1972.97722
BTCUSDT,2017-10-21,6024.97,6171.0,5850.03,10182,6013.72,10114821.44026351,4842552.09005084,796.022575,1664.307693
BTCUSDT,2017-10-22,5950.02,6060.0,5720.03,8846,6003.27,8035415.37335629,3298113.25431534,559.072342,1362.092216
BTCUSDT,2017-10-23,5915.93,6080.0,5621.03,10736,5975.0,10607190.98072695,4292971.67402233,733.791079,1812.557715
BTCUSDT,2017-10-24,5477.03,5925.0,5450.0,13075,5909.47,14564495.85056032,6369508.22114772,1128.826117,2580.418767
BTCUSDT,2017-10-25,5689.99,5704.96,5286.98,12026,5506.92,12544847.89154201,6072831.20164732,1102.091326,2282.813205
BTCUSDT,2017-10-26,5861.77,5939.99,5650.0,11429,5670.1,11417126.63602561,4524676.60186949,779.739997,1972.965882
BTCUSDT,2017-10-27,5768.83,5980.0,5649.24,8305,5861.77,8167069.73635031,3639525.74476665,624.087409,1403.706416
BTCUSDT,2017-10-28,5719.64,5850.02,5630.03,8556,5768.79,7308076.01911184,2992463.28829385,522.437128,1276.754412
BTCUSDT,2017-10-29,6169.98,6189.88,5648.01,10651,5709.98,10620967.62459168,5607341.71306722,954.170196,1804.778173
